id,title,lon,lat,description,wikiurl,picture,time
1,Monastiraki Square,23.725812,37.976387,Historic square in Athens,https://en.wikipedia.org/wiki/Monastiraki,pictures/monastiraki.png,3
2,Thanassis Kebab,23.727093,37.976210,famous for delicious Greek kebabs,No Wiki,pictures/thanasis.png,6
3,Museum Of Illusions,23.722739,37.976732,Interactive museum in Athens featuring mind-bending exhibits and optical illusions,https://museumofillusions.gr/athens/en/about-us/,pictures/illusions.png
